Genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
1370274_at	0.0374091950720548	6.83952601965609	7.8258183667039	7.74064803369016e-10	1.23254338640448e-05	11.9643041259615
1392474_at	-0.0554121832489987	6.33356005374757	-6.59013746050239	4.80250825824523e-08	0.000240904222799066	8.20607497262776
1373800_at	-0.058526209893075	5.71885068351969	-6.57587876350676	5.03878165494978e-08	0.000240904222799066	8.32231034884497
1371639_at	0.0529204406226294	6.5303678579337	6.52150351296392	6.0517295182834e-08	0.000240904222799066	7.87054032989534
1398883_at	0.0808898673604057	6.37602744319996	6.36759096132349	1.01660180995693e-07	0.00028860143025551	7.44603734412205
1385868_at	0.0573934166829275	6.51084377407921	6.33899028399802	1.11948858098658e-07	0.00028860143025551	7.25973015719762
1389792_at	0.0608899797909466	6.23948530422484	6.28772226461045	1.33067609160975e-07	0.00028860143025551	7.23826253716774
1386852_x_at	0.0273784758703206	6.88456249299199	6.2622483920325	1.44998520507698e-07	0.00028860143025551	6.70074261649719
1388835_at	0.0426111978527999	6.39686433158799	6.06488453715924	2.81967325669719e-07	0.000492343706683311	6.42145891212146
1371327_a_at	0.0327470194144652	6.81865227708388	6.03750707317551	3.09202855418772e-07	0.000492343706683311	6.01775589818642
1388355_at	0.0707901152675783	6.16887191346438	5.97384407865572	3.83117707337656e-07	0.000541924845616808	6.23932390865796
1387883_a_at	0.0304177954147029	6.83548082261568	5.95485055615929	4.08409103020894e-07	0.000541924845616808	5.73158271811343
1373945_at	0.0415905859070467	6.58887793432588	5.91028431943644	4.74481737362932e-07	0.000581167131079228	5.77993939294539
1375340_at	0.0416852652447188	6.84015445454731	5.87916193642303	5.26842490389191e-07	0.000599208069604791	5.45981738114552
1372713_at	0.0789309418778199	6.28019518943626	5.75096437380321	8.10518229648654e-07	0.000860392118046368	5.45527837452612
1398828_at	0.035869407441699	6.75109337354355	5.72682600417375	8.78924394401156e-07	0.000874694570753101	5.05991562308305
1375429_at	0.0619128395244752	6.23648627031486	5.70681780139479	9.39959965310659e-07	0.000880410736920095	5.34478294868469
1389008_at	0.0411451075507978	6.40768890840397	5.68650190382126	1.00625018120378e-06	0.000890140090850435	5.16726182473061
1375219_a_at	0.0255412587132611	6.76631125495405	5.63733396034966	1.18656755775117e-06	0.000939122451459597	4.70160328970917
1367977_at	0.0438782060082126	6.63144670444246	5.63587971160118	1.19236397145428e-06	0.000939122451459597	4.83204148329885
1368806_at	0.0520297262427469	6.59023544696902	5.62044281904438	1.25565615053311e-06	0.000939122451459597	4.84422627851338
1371531_at	0.0419166726156837	6.45701480971081	5.61064771221916	1.29753777128124e-06	0.000939122451459597	4.8826817828232
1398333_at	0.0530527002691779	6.40723873367006	5.52599920039594	1.7224462533996e-06	0.00119245703012529	4.64042660051241
1389128_at	0.0441199129016256	6.44440820926909	5.46060099580175	2.14308687618891e-06	0.00141171836872945	4.40295059867541
1371081_at	0.106595085031793	6.18011290995016	5.45051410325876	2.21647674547737e-06	0.00141171836872945	4.5567533233966
1390165_at	-0.0461400613314691	6.02978992815107	-5.41471937927275	2.49762424002391e-06	0.00150764348668581	4.45898994299334
1398852_at	0.038610163996827	6.64869208003793	5.40773775052095	2.55645130569094e-06	0.00150764348668581	4.06825431536765
1372600_at	0.0569586662713251	6.2289845358351	5.385800505604	2.75038813916164e-06	0.00154207280133171	4.27628583272813
1370453_at	-0.0444142300936949	5.84030407497722	-5.37952298825163	2.80852296920301e-06	0.00154207280133171	4.40163001834715
1375692_at	0.029415067510369	6.609538862368	5.35198593344833	3.07827787722343e-06	0.00163204703233608	3.91127161534856
1370226_at	0.037719604761481	6.40669960703735	5.34129374966676	3.18981117951162e-06	0.00163204703233608	4.03756097254257
1370190_at	0.0387675878374809	6.51566817666044	5.3329265752814	3.27987847985647e-06	0.00163204703233608	3.92213907343911
1386864_at	0.0309079159627084	6.73879048001468	5.30225209891673	3.63216645260667e-06	0.00175257534620776	3.66790585214845
1372329_at	0.0562252306740083	6.30359750240325	5.26151151727922	4.15864418623262e-06	0.00194759092286418	3.83157193875736
1373363_at	0.0249808963719751	6.7683724999951	5.22292548879528	4.72672992636194e-06	0.00211844064990104	3.33990781023312
1371603_at	0.0487080022434601	6.24600542675274	5.21894468823322	4.78954112896046e-06	0.00211844064990104	3.72915132382671
1389525_at	0.0639461492844822	6.11788602475214	5.20466508306672	5.02172780367409e-06	0.00215703233631871	3.75928720440977
1372999_at	0.0703804860748116	5.53299657072762	5.19718744012429	5.14772522640903e-06	0.00215703233631871	3.7829640070989
1373954_at	0.0495010662710653	6.23516288890979	5.13357705613239	6.35412960493595e-06	0.00253193772789082	3.45939877129356
1386955_at	0.0294309805406732	6.66418475037678	5.13327616874109	6.3604540046243e-06	0.00253193772789082	3.11317272853568
1377731_at	0.0504924119286185	6.19210709875447	5.11427760729596	6.77265421504411e-06	0.00259045766463618	3.43482064425583
1388102_at	-0.0598749215677419	5.48168486588398	-5.11159998118891	6.8328343851485e-06	0.00259045766463618	3.51149327664061
1372371_at	-0.0301666313380542	6.47411775894541	-5.08443277534072	7.47412454621664e-06	0.00269330288925027	3.15444019297271
1368504_at	0.0532165084795091	6.5365419399626	5.08078309409846	7.56469096173076e-06	0.00269330288925027	3.11329740126438
1372355_at	-0.0572097635442912	6.41136239621073	-5.0787077694263	7.61667285776758e-06	0.00269330288925027	3.19297423642539
1389252_at	0.0435263424879695	6.50080380339054	5.07225013406679	7.78069037904368e-06	0.00269330288925027	3.08184276078231
1398879_at	0.0330817418100091	6.49924701558035	5.05975492687287	8.1080316448338e-06	0.00274689761448274	3.03985840859798
1373160_at	0.0624650587710089	6.13191655363489	5.01674552985443	9.34227481493728e-06	0.00309910503913013	3.14592596843988
1372637_at	0.0341292455673461	6.51960096591518	4.99990437678665	9.87460933325827e-06	0.00319445326874772	2.84447707272206
1398786_at	0.0375365598029935	6.43337546811758	4.99512874783881	1.00309403653448e-05	0.00319445326874772	2.89004503837504
1373076_at	-0.0386788050624451	6.28240189764486	-4.98741744436412	1.02885457130235e-05	0.00321224536055829	2.93608340286483
1388110_at	0.026824201834053	6.77934104325957	4.98123888249151	1.04996523446691e-05	0.00321511469777244	2.56395362736059
1367956_at	0.0276975648609907	6.79589266798213	4.95372059602776	1.14930170937665e-05	0.00335694892809238	2.45198754111761
1373755_at	-0.0531587771098767	5.42297573335524	-4.95213810351554	1.15528817699817e-05	0.00335694892809238	2.9872931671121
1372528_at	0.0288677684886256	6.70537623671211	4.95102131212438	1.15953143908234e-05	0.00335694892809238	2.54620849940852
1374966_at	-0.0476148291055205	5.98599381045548	-4.9212832897568	1.27835476547842e-05	0.00363486480905588	2.89889005254745
1387015_at	0.0401855681767564	6.62496337251792	4.90892820408646	1.33118327567373e-05	0.00365583083923321	2.50439545135775
1389459_at	-0.0389198282952892	6.19714802367182	-4.90083402058159	1.366954311159e-05	0.00365583083923321	2.72486677818787
1388802_at	0.0520928791234958	6.30195181809828	4.90039327302774	1.36892911449412e-05	0.00365583083923321	2.69625909866268
1372144_at	0.0407701686918749	6.32992991533556	4.89847296202273	1.37756610157629e-05	0.00365583083923321	2.64823455630936
1371402_at	0.0266256536087992	6.72096845835311	4.88004158867317	1.46324641002987e-05	0.00376194723460361	2.30762117574315
1398775_at	0.0298108113359392	6.65302965113453	4.87971648134156	1.4648039222849e-05	0.00376194723460361	2.34582781786566
1368136_at	-0.0507720046884295	6.05381626772424	-4.87087234686387	1.50780679316184e-05	0.00380331024902013	2.70738080160122
1390709_at	0.0724055749834331	6.18896770476971	4.86421063661044	1.54101758747543e-05	0.00380331024902013	2.61707227602616
1369897_s_at	0.0245175779765523	6.83077215910656	4.86106815882402	1.55693314795521e-05	0.00380331024902013	2.15736979418285
1386867_at	0.0354054971282869	6.44710340448558	4.85725713936446	1.57645215371054e-05	0.00380331024902013	2.44409302917825
1387774_at	0.0304812759676905	6.72086841883541	4.85055822689722	1.61134843460502e-05	0.0038294777797337	2.20246010354113
1374384_at	0.0658634020778868	5.58000334225691	4.83881603342594	1.67436239892252e-05	0.00384030660591092	2.68101348224958
1369971_a_at	0.0424549885200793	6.26014481338781	4.83692135313878	1.68475514169777e-05	0.00384030660591092	2.49227764097194
1371685_at	-0.0333709937307907	6.34747766368911	-4.83628518740109	1.68825888597478e-05	0.00384030660591092	2.4280234681101
1367637_a_at	0.0404135796773426	6.49857434779006	4.81776632429711	1.79345983686852e-05	0.00400492144426298	2.29350878552677
1386903_at	0.0331935859737778	6.79086843127735	4.81389038308332	1.81628193721445e-05	0.00400492144426298	2.0271460729178
